timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-03-23T10:57:40Z,bangi-backend-backend-1,0.01%,52.43MiB / 160MiB,32.77%,15.2kB / 16.3kB,0B / 61.4kB,4
2026-03-23T10:57:40Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:57:40Z,bangi-backend-mariadb-1,0.03%,105.2MiB / 160MiB,65.72%,251MB / 2.95MB,6.18MB / 1.28GB,11
2026-03-23T10:57:48Z,bangi-backend-backend-1,0.01%,52.43MiB / 160MiB,32.77%,15.2kB / 16.3kB,0B / 61.4kB,4
2026-03-23T10:57:48Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:57:48Z,bangi-backend-mariadb-1,0.03%,105.1MiB / 160MiB,65.72%,251MB / 2.95MB,6.18MB / 1.28GB,11
2026-03-23T10:57:55Z,bangi-backend-backend-1,0.01%,52.43MiB / 160MiB,32.77%,15.2kB / 16.4kB,0B / 61.4kB,4
2026-03-23T10:57:55Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:57:55Z,bangi-backend-mariadb-1,0.01%,105.2MiB / 160MiB,65.72%,251MB / 2.95MB,6.18MB / 1.28GB,11
2026-03-23T10:58:03Z,bangi-backend-backend-1,0.02%,52.43MiB / 160MiB,32.77%,15.3kB / 16.5kB,0B / 61.4kB,4
2026-03-23T10:58:03Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:58:03Z,bangi-backend-mariadb-1,0.04%,105.2MiB / 160MiB,65.72%,251MB / 2.95MB,6.18MB / 1.28GB,11
2026-03-23T10:58:11Z,bangi-backend-backend-1,0.01%,52.43MiB / 160MiB,32.77%,15.3kB / 16.5kB,0B / 61.4kB,4
2026-03-23T10:58:11Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:58:11Z,bangi-backend-mariadb-1,0.03%,105.2MiB / 160MiB,65.73%,251MB / 2.95MB,6.18MB / 1.28GB,11
2026-03-23T10:58:18Z,bangi-backend-backend-1,0.01%,52.43MiB / 160MiB,32.77%,15.3kB / 16.5kB,0B / 61.4kB,4
2026-03-23T10:58:18Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:58:18Z,bangi-backend-mariadb-1,0.03%,105.2MiB / 160MiB,65.77%,251MB / 2.95MB,6.18MB / 1.28GB,11
2026-03-23T10:58:25Z,agitated_black,1.30%,15.79MiB / 7.655GiB,0.20%,3.09kB / 2.29kB,0B / 0B,14
